0,1,2
CBD gbo4-en-hr,no poverty,14
CBD gbo4-en-hr,zero hunger,3
CBD gbo4-en-hr,good health and well beeing,12
CBD gbo4-en-hr,quality education,51
CBD gbo4-en-hr,gender equality,0
CBD gbo4-en-hr,clean water and sanitation,10
CBD gbo4-en-hr,affordable and clean energy,4
CBD gbo4-en-hr,decent work and economic growth,52
CBD gbo4-en-hr,industry innowation and infrastructure,54
CBD gbo4-en-hr,reduced inequalities,0
CBD gbo4-en-hr,responsible consumption and production,48
CBD gbo4-en-hr,climate action,10
CBD gbo4-en-hr,life below water,4
CBD gbo4-en-hr,life on land,17
CBD gbo4-en-hr,piece justice and strong institutions,42
CBD gbo4-en-hr,partnership for the goals,20
DESA 2013 InequalityMatters,no poverty,115
DESA 2013 InequalityMatters,zero hunger,4
DESA 2013 InequalityMatters,good health and well beeing,51
DESA 2013 InequalityMatters,quality education,138
DESA 2013 InequalityMatters,gender equality,51
DESA 2013 InequalityMatters,clean water and sanitation,8
DESA 2013 InequalityMatters,affordable and clean energy,7
DESA 2013 InequalityMatters,decent work and economic growth,131
DESA 2013 InequalityMatters,industry innowation and infrastructure,149
DESA 2013 InequalityMatters,reduced inequalities,163
DESA 2013 InequalityMatters,responsible consumption and production,29
DESA 2013 InequalityMatters,climate action,1
DESA 2013 InequalityMatters,life below water,0
DESA 2013 InequalityMatters,life on land,2
DESA 2013 InequalityMatters,piece justice and strong institutions,26
DESA 2013 InequalityMatters,partnership for the goals,12
FAO state of food insecurity in the world 2014,no poverty,31
FAO state of food insecurity in the world 2014,zero hunger,129
FAO state of food insecurity in the world 2014,good health and well beeing,12
FAO state of food insecurity in the world 2014,quality education,63
FAO state of food insecurity in the world 2014,gender equality,12
FAO state of food insecurity in the world 2014,clean water and sanitation,6
FAO state of food insecurity in the world 2014,affordable and clean energy,1
FAO state of food insecurity in the world 2014,decent work and economic growth,108
FAO state of food insecurity in the world 2014,industry innowation and infrastructure,80
FAO state of food insecurity in the world 2014,reduced inequalities,11
FAO state of food insecurity in the world 2014,responsible consumption and production,38
FAO state of food insecurity in the world 2014,climate action,8
FAO state of food insecurity in the world 2014,life below water,1
FAO state of food insecurity in the world 2014,life on land,45
FAO state of food insecurity in the world 2014,piece justice and strong institutions,71
FAO state of food insecurity in the world 2014,partnership for the goals,14
hdr14-report-vulnaerability and resilience en-1,no poverty,156
hdr14-report-vulnaerability and resilience en-1,zero hunger,17
hdr14-report-vulnaerability and resilience en-1,good health and well beeing,57
hdr14-report-vulnaerability and resilience en-1,quality education,306
hdr14-report-vulnaerability and resilience en-1,gender equality,63
hdr14-report-vulnaerability and resilience en-1,clean water and sanitation,5
hdr14-report-vulnaerability and resilience en-1,affordable and clean energy,9
hdr14-report-vulnaerability and resilience en-1,decent work and economic growth,396
hdr14-report-vulnaerability and resilience en-1,industry innowation and infrastructure,302
hdr14-report-vulnaerability and resilience en-1,reduced inequalities,53
hdr14-report-vulnaerability and resilience en-1,responsible consumption and production,70
hdr14-report-vulnaerability and resilience en-1,climate action,44
hdr14-report-vulnaerability and resilience en-1,life below water,2
hdr14-report-vulnaerability and resilience en-1,life on land,19
hdr14-report-vulnaerability and resilience en-1,piece justice and strong institutions,101
hdr14-report-vulnaerability and resilience en-1,partnership for the goals,75
hdr2013_the rise of the south en_complete,no poverty,141
hdr2013_the rise of the south en_complete,zero hunger,9
hdr2013_the rise of the south en_complete,good health and well beeing,87
hdr2013_the rise of the south en_complete,quality education,380
hdr2013_the rise of the south en_complete,gender equality,31
hdr2013_the rise of the south en_complete,clean water and sanitation,6
hdr2013_the rise of the south en_complete,affordable and clean energy,43
hdr2013_the rise of the south en_complete,decent work and economic growth,463
hdr2013_the rise of the south en_complete,industry innowation and infrastructure,505
hdr2013_the rise of the south en_complete,reduced inequalities,60
hdr2013_the rise of the south en_complete,responsible consumption and production,152
hdr2013_the rise of the south en_complete,climate action,14
hdr2013_the rise of the south en_complete,life below water,2
hdr2013_the rise of the south en_complete,life on land,18
hdr2013_the rise of the south en_complete,piece justice and strong institutions,131
hdr2013_the rise of the south en_complete,partnership for the goals,72
hdr_2004_complete,no poverty,130
hdr_2004_complete,zero hunger,8
hdr_2004_complete,good health and well beeing,58
hdr_2004_complete,quality education,270
hdr_2004_complete,gender equality,61
hdr_2004_complete,clean water and sanitation,26
hdr_2004_complete,affordable and clean energy,6
hdr_2004_complete,decent work and economic growth,284
hdr_2004_complete,industry innowation and infrastructure,259
hdr_2004_complete,reduced inequalities,30
hdr_2004_complete,responsible consumption and production,87
hdr_2004_complete,climate action,1
hdr_2004_complete,life below water,3
hdr_2004_complete,life on land,10
hdr_2004_complete,piece justice and strong institutions,111
hdr_2004_complete,partnership for the goals,44
hdr_2009_en_complete,no poverty,71
hdr_2009_en_complete,zero hunger,5
hdr_2009_en_complete,good health and well beeing,42
hdr_2009_en_complete,quality education,207
hdr_2009_en_complete,gender equality,27
hdr_2009_en_complete,clean water and sanitation,11
hdr_2009_en_complete,affordable and clean energy,8
hdr_2009_en_complete,decent work and economic growth,260
hdr_2009_en_complete,industry innowation and infrastructure,347
hdr_2009_en_complete,reduced inequalities,44
hdr_2009_en_complete,responsible consumption and production,66
hdr_2009_en_complete,climate action,8
hdr_2009_en_complete,life below water,2
hdr_2009_en_complete,life on land,11
hdr_2009_en_complete,piece justice and strong institutions,93
hdr_2009_en_complete,partnership for the goals,37
hdr_2011_en_complete,no poverty,144
hdr_2011_en_complete,zero hunger,7
hdr_2011_en_complete,good health and well beeing,70
hdr_2011_en_complete,quality education,187
hdr_2011_en_complete,gender equality,48
hdr_2011_en_complete,clean water and sanitation,85
hdr_2011_en_complete,affordable and clean energy,30
hdr_2011_en_complete,decent work and economic growth,250
hdr_2011_en_complete,industry innowation and infrastructure,253
hdr_2011_en_complete,reduced inequalities,61
hdr_2011_en_complete,responsible consumption and production,76
hdr_2011_en_complete,climate action,104
hdr_2011_en_complete,life below water,8
hdr_2011_en_complete,life on land,20
hdr_2011_en_complete,piece justice and strong institutions,146
hdr_2011_en_complete,partnership for the goals,30
IAASTD Agriculture at a Crossroads_Synthesis Report (English),no poverty,68
IAASTD Agriculture at a Crossroads_Synthesis Report (English),zero hunger,50
IAASTD Agriculture at a Crossroads_Synthesis Report (English),good health and well beeing,33
IAASTD Agriculture at a Crossroads_Synthesis Report (English),quality education,207
IAASTD Agriculture at a Crossroads_Synthesis Report (English),gender equality,5
IAASTD Agriculture at a Crossroads_Synthesis Report (English),clean water and sanitation,8
IAASTD Agriculture at a Crossroads_Synthesis Report (English),affordable and clean energy,48
IAASTD Agriculture at a Crossroads_Synthesis Report (English),decent work and economic growth,286
IAASTD Agriculture at a Crossroads_Synthesis Report (English),industry innowation and infrastructure,226
IAASTD Agriculture at a Crossroads_Synthesis Report (English),reduced inequalities,11
IAASTD Agriculture at a Crossroads_Synthesis Report (English),responsible consumption and production,133
IAASTD Agriculture at a Crossroads_Synthesis Report (English),climate action,20
IAASTD Agriculture at a Crossroads_Synthesis Report (English),life below water,4
IAASTD Agriculture at a Crossroads_Synthesis Report (English),life on land,136
IAASTD Agriculture at a Crossroads_Synthesis Report (English),piece justice and strong institutions,40
IAASTD Agriculture at a Crossroads_Synthesis Report (English),partnership for the goals,30
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,no poverty,32
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,zero hunger,3
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,good health and well beeing,11
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,quality education,51
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,gender equality,2
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,clean water and sanitation,6
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,affordable and clean energy,18
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,decent work and economic growth,112
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,industry innowation and infrastructure,146
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,reduced inequalities,9
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,responsible consumption and production,40
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,climate action,24
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,life below water,1
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,life on land,0
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,piece justice and strong institutions,52
IDFC_Investing_in_Sustainable_Cities_Paper_01-12-14,partnership for the goals,42
IIASA Global_Energy_Assessment_FullReport,no poverty,646
IIASA Global_Energy_Assessment_FullReport,zero hunger,66
IIASA Global_Energy_Assessment_FullReport,good health and well beeing,349
IIASA Global_Energy_Assessment_FullReport,quality education,1652
IIASA Global_Energy_Assessment_FullReport,gender equality,36
IIASA Global_Energy_Assessment_FullReport,clean water and sanitation,312
IIASA Global_Energy_Assessment_FullReport,affordable and clean energy,1696
IIASA Global_Energy_Assessment_FullReport,decent work and economic growth,2590
IIASA Global_Energy_Assessment_FullReport,industry innowation and infrastructure,2572
IIASA Global_Energy_Assessment_FullReport,reduced inequalities,82
