text,common,constraint,recommendation,direction
More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .,0,1,0,2
More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .,0,1,0,1
in most countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities .,1,0,0,1
it is however possible to improve performance of urban water supply systems while continuing to expand the system and addressing the needs of the poor .,0,0,1,1
a major priority for the Latin America and the Caribbean region is to build the formal institutional capacity to manage water resources and bring sustainable integration of water resources management and use into socioeconomic development and poverty reduction .,1,0,0,2
nevertheless as of 2012 1.2 billon people still lived in extreme poverty lockhart and Vincent 2013 the majority located in slums often lacking adequate drinking water and sanitation services un-Habitat 2011 .,0,1,0,1
nevertheless as of 2012 1.2 billon people still lived in extreme poverty lockhart and Vincent 2013 the majority located in slums often lacking adequate drinking water and sanitation services un-Habitat 2011 .,0,1,0,1
Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .,0,1,0,1
Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .,0,1,0,1
Many poor urban dwellers have to pay very high water prices to informal water vendors or do without water .,1,0,0,1
Poverty can also render existing investments in water less efficient since households and communities often find it difficult to finance operate and maintain infrastructure such as rural water pumps .,1,0,0,1
2.2 The equity challenge Great strides have been made in many countries such as brazil China and india to reduce poverty .,0,1,0,2
Poverty still remains at unacceptable levels even in these three countries as elsewhere .,0,1,0,1
in many developing countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities arising from economic growth .,1,0,0,1
According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .,1,0,0,1
According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .,1,0,0,1
According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .,1,0,0,1
Two global trends are converging climate change and growing economic development in least developed countries LDCs and emerging economies .,1,0,0,2
This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .,1,0,0,1
This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .,1,0,0,1
This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .,1,0,0,1
in addition infrastructure to reduce risk of water scarcity and to manage waterrelated disasters such as floods and droughts can make a countrys development efforts more sustainable by reducing the vulnerability and or increasing the resilience of economies to extreme events box 3.2 .,1,0,0,2
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,1
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,2
in other cases technologies and financial resources to invest in water infrastructure might be available while the institutional capability is lacking leading to poor or nonexistent service provision .,0,1,0,2
once the marginal benefits of further development decrease emphasis must gradually shift towards building human and institutional capabilities to enhance water efficiency and sustainability and secure economic and social development gains .,1,0,0,2
Projects in hydropower irrigation energy or urban development that are carried out simultaneously and in isolation from each other can lead to water scarcity unsustainable use of resources and conflicts between users and local communities .,1,0,0,1
Projects in hydropower irrigation energy or urban development that are carried out simultaneously and in isolation from each other can lead to water scarcity unsustainable use of resources and conflicts between users and local communities .,1,0,0,1
implications of inadequate WasH for education cognitive development and nutrition are not fully documented and inadequate WasH is one of many deprivations suffered by the worlds poorest and most marginalized populations .,0,1,0,1
lack of WasH takes a huge toll on health and wellbeing and comes at a large financial cost including a sizeable loss of economic activity in many countries not just least developed countries .,0,1,0,2
Although the time frame for reaching the targets of universal coverage have not been met major gains in access have been achieved especially for the poor and those living in rural areas .,1,0,0,1
Pronounced disparities in access to WasH services for example between regions rural and urban areas and socioeconomic groups are welldocumented WHo and uniCef 2014a .,1,0,0,1
Whereas some countries have made remarkable progress in reducing inequalities in others these gains have largely bypassed the poor and marginalized .,1,0,0,2
Whereas some countries have made remarkable progress in reducing inequalities in others these gains have largely bypassed the poor and marginalized .,1,0,0,1
in this region the percentage of people who enjoyed piped water on their premises which is the preferred option for urban areas Poor Poor actually decreased from 42 to 34 WHo and uniCef 2014a .,0,0,1,2
therefore although sanitation 14 14 coverage is generally higher in urban areas because of rapid urbanization increasing numbers of urban residents particularly the poor are unable to access improved 11 11 sanitation .,1,0,0,2
therefore although sanitation 14 14 coverage is generally higher in urban areas because of rapid urbanization increasing numbers of urban residents particularly the poor are unable to access improved 11 11 sanitation .,1,0,0,2
also due to higher population densities in urban 4 4 0 0 areas the health consequences of poor sanitation can be 1995 1995 pervasive .,1,0,0,1
also due to higher population densities in urban 4 4 0 0 areas the health consequences of poor sanitation can be 1995 1995 pervasive .,1,0,0,1
Least developed countries,1,0,0,2
in some informal settlements however local communities and the private sector have come up with innovative solutions .,0,1,0,2
in some informal settlements however local communities and the private sector have come up with innovative solutions .,0,1,0,2
as the urban poor tend to live in concentrated and highly vulnerable areas such as river banks they are more vulnerable to the impacts of climate change .,1,0,0,2
furthermore as the target also includes an element of progressively eliminating inequalities in access it would encourage policymakers to address the needs of the urban poor .,0,1,1,2
in doing so governments and service providers can learn from experiences of successful and innovative initiatives that focus on the needs of urban poor and create an enabling environment for service delivery box 6.1 .,0,0,1,2
As a result NWSC was able to significantly expand its services to the urban poor while increasing its revenue .,1,0,0,2
It concluded that community managed DEWATS can be effective for serving poor communities where the appropriate type of system is built well in the right location the number of users is optimized and sustained and there is shared responsibility with government for operation and maintenance WSP 2013 .,1,0,0,1
experiences from cities around the world have shown that it is possible to improve the performance of urban water supply systems and increase revenue and profits while continuing to expand the system and addressing the needs of the poor provided that there is strong leadership and good governance box 6.3 .,0,0,1,2
since transportation accounts for much of the cost of wastewater management decentralized systems that treat wastewater close to the source using simple technologies that maximize recycling of water and nutrients can be more effective particularly in poor and periurban settlements box 6.4 .,1,0,0,1
since 75 of the worlds poor live in rural areas broadbased rural development and the wide sharing of its benefits are the most effective means of reducing poverty and food insecurity World bank 2007a .,1,0,0,1
since 75 of the worlds poor live in rural areas broadbased rural development and the wide sharing of its benefits are the most effective means of reducing poverty and food insecurity World bank 2007a .,1,0,0,1
a key challenge for decisionmakers is to adopt policies and strategies to help bridge a widening gap between urban affluence and rural poverty while also encompassing green measures necessary to enhance ecological wellbeing .,0,1,0,2
a key challenge for decisionmakers is to adopt policies and strategies to help bridge a widening gap between urban affluence and rural poverty while also encompassing green measures necessary to enhance ecological wellbeing .,0,1,0,2
policy legal and institutional environments that strike the right balance between private and public sector initiatives and ensures accountability equity transparency and appropriate legislation box 7.5 .,1,0,0,1
bioenergy production involving smallholders can help create jobs improve livelihoods and reduce poverty in rural areas .,1,0,0,1
in addition to the impacts of climate change there are often universal constraints to the development of adaptation actions due to data scarcity poor predictive capacity of socioeconomic and climate models inadequate decision support mechanisms and limited institutional capacity .,0,1,1,1
in addition to the impacts of climate change there are often universal constraints to the development of adaptation actions due to data scarcity poor predictive capacity of socioeconomic and climate models inadequate decision support mechanisms and limited institutional capacity .,0,1,1,1
for instance inadequately described or enforced water rights may hinder improved access to water for poor and other vulnerable communities in many developing regions .,0,1,0,1
after a long debate to address different concerns around agricultural interests government spending and support for provision of water for the poor the country passed a farm bill in february 2014 known officially as the agricultural act of 2014 .,0,0,1,1
other important challenges include the need for more sustainable water use access to more reliable water services particularly in least developed countries and countries suffering directly and indirectly from conflict and improved water governance for national and transboundary surface water and groundwater resources .,0,1,1,2
