SDG10Word,SDG11Word,SDG12Word,SDG13Word,SDG14Word,SDG15Word,SDG16Word,SDG17Word,SDG1Word,SDG2Word,SDG3Word,SDG4Word,SDG5Word,SDG6Word,SDG7Word,SDG8Word,SDG9Word,common,constraint,direction,pNo,recommendation,text
-0,city,-0,-0,-0,-0,-0,-0,employment,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,34,1,The designations employed and the presentation of material throughout this publication do not imply the expression of any opinion whatsoever on the part of UNESCO concerning the legal status of any country territory city or area or of its authorities or concerning the delimitation of its frontiers or boundaries .
-0,countries,-0,-0,-0,-0,-0,-0,employment,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,34,1,The designations employed and the presentation of material throughout this publication do not imply the expression of any opinion whatsoever on the part of UNESCO concerning the legal status of any country territory city or area or of its authorities or concerning the delimitation of its frontiers or boundaries .
-0,rural,-0,-0,-0,-0,-0,-0,livelihoods,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,79,0,Food and agriculture 7.1 improving resource use efficiency 7.2 Conserving protecting and enhancing natural resources 7.3 rural livelihoods and social wellbeing 7.4 improving resilience 7.5 effective governance
-0,countries,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,140,0,More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .
-0,rural,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,140,0,More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .
-0,urban,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,140,0,More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .
-0,families,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,241,0,Poverty and social equity While access to household water supplies is critical for a familys health and social dignity access to water for productive uses such as agriculture and familyrun
-0,countries,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,264,0,in most countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities .
-0,countries,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,264,0,in most countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities .
-0,urban,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,288,1,it is however possible to improve performance of urban water supply systems while continuing to expand the system and addressing the needs of the poor .
-0,urban,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,288,1,it is however possible to improve performance of urban water supply systems while continuing to expand the system and addressing the needs of the poor .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,0,0,2,290,1,ecosystem services remain undervalued by 2050 agriculture will need to produce 60 more food globally and 100 more in developing countries .
-0,institutions,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,302,0,a major priority for the Latin America and the Caribbean region is to build the formal institutional capacity to manage water resources and bring sustainable integration of water resources management and use into socioeconomic development and poverty reduction .
-0,institutions,-0,-0,-0,-0,-0,-0,socioeconomic,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,302,0,a major priority for the Latin America and the Caribbean region is to build the formal institutional capacity to manage water resources and bring sustainable integration of water resources management and use into socioeconomic development and poverty reduction .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,313,0,Global water demand for the manufacturing industry is expected to increase by 400 from 2000 to 2050 leading all other sectors with the bulk of this increase occurring in emerging economies and developing countries .
-0,population,-0,-0,-0,-0,-0,-0,livelihoods,-0,-0,-0,-0,-0,-0,-0,-0,0,0,2,382,1,Based on the definition of water security by the UN-Water Task Force on Water Security Water security is defined as the capacity of a population to safeguard sustainable access to adequate quantities of acceptable quality water for sustaining livelihoods human wellbeing and socioeconomic development for ensuring protection against waterborne pollution and waterrelated disasters and for preserving ecosystems in a climate of peace and political stability .
-0,population,-0,-0,-0,-0,-0,-0,socioeconomic,-0,-0,-0,-0,-0,-0,-0,-0,0,0,2,382,1,Based on the definition of water security by the UN-Water Task Force on Water Security Water security is defined as the capacity of a population to safeguard sustainable access to adequate quantities of acceptable quality water for sustaining livelihoods human wellbeing and socioeconomic development for ensuring protection against waterborne pollution and waterrelated disasters and for preserving ecosystems in a climate of peace and political stability .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,455,0,developing countries account for 93 of urbanization globally 40 of which is the expansion of slums .
-0,slums,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,455,0,developing countries account for 93 of urbanization globally 40 of which is the expansion of slums .
-0,urban,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,455,0,developing countries account for 93 of urbanization globally 40 of which is the expansion of slums .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,541,0,thereafter it may stabilize in developed countries but is likely to continue to worsen in developing countries .
-0,slums,-0,-0,-0,-0,-0,-0,extreme poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,562,0,nevertheless as of 2012 1.2 billon people still lived in extreme poverty lockhart and Vincent 2013 the majority located in slums often lacking adequate drinking water and sanitation services un-Habitat 2011 .
-0,slums,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,562,0,nevertheless as of 2012 1.2 billon people still lived in extreme poverty lockhart and Vincent 2013 the majority located in slums often lacking adequate drinking water and sanitation services un-Habitat 2011 .
-0,slums,-0,-0,-0,-0,-0,-0,lack,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,562,0,nevertheless as of 2012 1.2 billon people still lived in extreme poverty lockhart and Vincent 2013 the majority located in slums often lacking adequate drinking water and sanitation services un-Habitat 2011 .
-0,slums,-0,-0,-0,-0,-0,-0,extreme poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,562,0,nevertheless as of 2012 1.2 billon people still lived in extreme poverty lockhart and Vincent 2013 the majority located in slums often lacking adequate drinking water and sanitation services un-Habitat 2011 .
-0,rural,-0,-0,-0,-0,-0,-0,income,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,566,0,apart from access to sanitation and clean drinking water the worlds 850 million rural poor also lack access to water for agricultural production which is usually their primary source of income soussan and arriens 2004 .
-0,rural,-0,-0,-0,-0,-0,-0,lack,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,566,0,apart from access to sanitation and clean drinking water the worlds 850 million rural poor also lack access to water for agricultural production which is usually their primary source of income soussan and arriens 2004 .
-0,rural,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,566,0,apart from access to sanitation and clean drinking water the worlds 850 million rural poor also lack access to water for agricultural production which is usually their primary source of income soussan and arriens 2004 .
-0,rural,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,566,0,apart from access to sanitation and clean drinking water the worlds 850 million rural poor also lack access to water for agricultural production which is usually their primary source of income soussan and arriens 2004 .
-0,urban,-0,-0,-0,-0,-0,-0,inequality,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,571,0,by failing to integrate gender considerations in water resources management and also in sectors such as agriculture urban water supply energy and industry gender inequities will persist preventing the adoption of innovative solutions that may be put forth by women WWaP 2012 .
-0,rural,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,583,0,Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .
-0,rural,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,583,0,Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .
-0,slums,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,583,0,Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .
-0,slums,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,583,0,Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .
-0,urban,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,583,0,Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .
-0,urban,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,583,0,Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,592,0,in most countries funding for water infrastructure comes from government allocations although many developing countries still depend on external assistance to fund water resources management and utilities .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,626,0,financing is reported to be particularly inadequate for sanitation with drinking water absorbing the majority of funding available particularly in developing countries WHo 2012a .
-0,urban,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,681,0,Many poor urban dwellers have to pay very high water prices to informal water vendors or do without water .
-0,urban,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,681,0,Many poor urban dwellers have to pay very high water prices to informal water vendors or do without water .
-0,schools,-0,-0,-0,-0,-0,-0,income,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,684,0,low incomes and limited access to water also means choosing between paying for water food school fees or medicines .
-0,countries,-0,-0,-0,-0,-0,-0,lack,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,690,0,one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .
-0,countries,-0,-0,-0,-0,-0,-0,shortage,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,690,0,one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,690,0,one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .
-0,population,-0,-0,-0,-0,-0,-0,lack,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,690,0,one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .
-0,population,-0,-0,-0,-0,-0,-0,shortage,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,690,0,one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .
-0,population,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,690,0,one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .
-0,institutions,-0,-0,-0,-0,-0,-0,deficiency,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,707,0,However their results and benefits will not continue to flow in the medium and long term unless nontariff revenue is ensured or because of institutional ineffectiveness to regulate monitor collect service fees manage procurement processes and collect and disseminate information or deficiencies in the capacities of operators to run the equipment installed .
-0,community,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,716,0,Poverty can also render existing investments in water less efficient since households and communities often find it difficult to finance operate and maintain infrastructure such as rural water pumps .
-0,rural,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,716,0,Poverty can also render existing investments in water less efficient since households and communities often find it difficult to finance operate and maintain infrastructure such as rural water pumps .
-0,countries,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,2,718,0,2.2 The equity challenge Great strides have been made in many countries such as brazil China and india to reduce poverty .
-0,countries,-0,-0,-0,-0,-0,-0,poverty,-0,-0,-0,-0,-0,-0,-0,-0,0,1,1,722,0,Poverty still remains at unacceptable levels even in these three countries as elsewhere .
-0,countries,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,723,0,in many developing countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities arising from economic growth .
-0,countries,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,723,0,in many developing countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities arising from economic growth .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,723,0,in many developing countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities arising from economic growth .
-0,rural,-0,-0,-0,-0,-0,-0,insecurity,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural,-0,-0,-0,-0,-0,-0,livelihoods,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,settlements,-0,-0,-0,-0,-0,-0,insecurity,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,settlements,-0,-0,-0,-0,-0,-0,livelihoods,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,settlements,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,settlements,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,urban,-0,-0,-0,-0,-0,-0,insecurity,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,urban,-0,-0,-0,-0,-0,-0,livelihoods,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,urban,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,urban,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural areas,-0,-0,-0,-0,-0,-0,insecurity,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural areas,-0,-0,-0,-0,-0,-0,livelihoods,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural areas,-0,-0,-0,-0,-0,-0,poorness,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,rural areas,-0,-0,-0,-0,-0,-0,poor,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,727,0,According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .
-0,countries,-0,-0,-0,-0,-0,-0,developing countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,729,0,Two global trends are converging climate change and growing economic development in least developed countries LDCs and emerging economies .
-0,countries,-0,-0,-0,-0,-0,-0,least developed countries,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,729,0,Two global trends are converging climate change and growing economic development in least developed countries LDCs and emerging economies .
-0,countries,-0,-0,-0,-0,-0,-0,income,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,730,0,This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .
-0,countries,-0,-0,-0,-0,-0,-0,insecurity,-0,-0,-0,-0,-0,-0,-0,-0,1,0,2,730,0,This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .
-0,countries,-0,-0,-0,-0,-0,-0,marginalization,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,730,0,This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .
-0,countries,-0,-0,-0,-0,-0,-0,marginalized,-0,-0,-0,-0,-0,-0,-0,-0,1,0,1,730,0,This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .
